termo,estimativa,erro_pad,t_valor,p_valor,odds_ratio
(Intercept),-3.3628745187557705,0.06912503227607553,-48.649156579412924,0,0.034635555160267784
idade,0.07234895396551858,0.002882899402540419,25.09589960085478,4.875122130529762e-136,1.0750304147450853
sexoMulher,0.7905721447263326,0.023236341259996827,34.02309063550225,5.194910946671914e-244,2.2046574486104844
cor_racaPreta,0.16933957396670188,0.04178719316665692,4.05242757730429,5.0957985347169973e-5,1.1845223035750538
cor_racaAmarela,-0.052138895509311,0.14959024386199743,-0.348544759091449,0.7274362569313221,0.9491970184832103
cor_racaParda,0.2520841153169602,0.029618799377291154,8.51094982297743,1.8957431179297507e-17,1.2867042642700264
cor_racaIndígena,0.5071434390254503,0.12281195365670794,4.129430596333083,3.6573637159107935e-5,1.6605409769808968
regiaoNordeste,0.26439416903625496,0.03425652466353995,7.718067481540417,1.2593493628156579e-14,1.3026415560857296
regiaoSudeste,-0.3337304623430578,0.03973892668433503,-8.398074386709931,4.963380775992906e-17,0.7162468116991018
regiaoSul,-0.5982222751886764,0.04491048347238237,-13.320325877955694,3.0691278660725373e-40,0.5497881398765844
regiaoCentro-Oeste,-0.4697751337416618,0.04839567656467981,-9.706964900342227,3.2993701708514668e-22,0.6251428260069749
concluiu_em,-0.1084791205823245,0.02869290567772032,-3.7806948449475852,1.5702968808263367e-4,0.8971976275854094
