"skim_type","skim_variable","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"numeric","v1028006",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.090184526944,782.610712309248,0,0,236.379917555,623.7559098825,14693.55444093,"▇▁▁▁▁"
"numeric","v1028007",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.877317775696,773.956112148504,0,0,236.173813335,627.6710972975,13844.65219573,"▇▁▁▁▁"
"numeric","v1028008",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.433771126953,790.62632667023,0,0,232.98162307,617.8280310525,14118.33555994,"▇▁▁▁▁"
"numeric","v1028009",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.992579123075,794.745052820792,0,0,232.972569315,624.7839943325,20194.33281357,"▇▁▁▁▁"
"numeric","v1028010",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.402683184483,782.995886736843,0,0,238.006878225,620.59727223,12547.54873593,"▇▁▁▁▁"
"numeric","v1028011",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.926222856457,778.396288941428,0,0,238.016979025,629.273910855,19782.67213926,"▇▁▁▁▁"
"numeric","v1028012",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.999142797246,796.051554933938,0,0,239.415459855,629.5596104,19675.88724797,"▇▁▁▁▁"
"numeric","v1028013",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.366278885601,788.36636343492,0,0,237.15054377,627.6886631225,17756.82842772,"▇▁▁▁▁"
"numeric","v1028014",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.52436538228,814.793272291882,0,0,229.20714762,622.382590125,21609.32112175,"▇▁▁▁▁"
"numeric","v1028015",0,1,NA,NA,NA,NA,NA,NA,NA,NA,482.132788610745,795.371017900159,0,0,237.4489858,627.8794877125,13940.85616851,"▇▁▁▁▁"
"numeric","v1028016",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.646638083623,794.22343415923,0,0,233.580842415,619.03697561,21260.22219576,"▇▁▁▁▁"
"numeric","v1028017",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.835170568607,796.982589156946,0,0,233.12253475,628.2681644125,16453.84589786,"▇▁▁▁▁"
"numeric","v1028018",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.023431768671,831.733603558524,0,0,229.33738768,616.6614242325,20337.16304648,"▇▁▁▁▁"
"numeric","v1028019",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.263366944253,791.309185792889,0,0,243.56106099,623.56891711,17024.94630479,"▇▁▁▁▁"
"numeric","v1028020",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.588353583812,813.549328223989,0,0,236.41573823,625.59537702,17802.12713741,"▇▁▁▁▁"
"numeric","v1028021",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.27235573582,847.190655750429,0,0,236.93315063,627.1106691075,49293.22498057,"▇▁▁▁▁"
"numeric","v1028022",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.284288819285,826.765929170073,0,0,238.46709288,617.01671752,30982.10350484,"▇▁▁▁▁"
"numeric","v1028023",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.431176248344,789.592689855748,0,0,235.44962674,623.4447366925,18113.70443073,"▇▁▁▁▁"
"numeric","v1028024",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.346891426112,801.333110788627,0,0,232.7553009,623.10670196,20966.44746381,"▇▁▁▁▁"
"numeric","v1028025",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.879179652937,795.153919674438,0,0,236.825498405,621.759067075,13119.20989467,"▇▁▁▁▁"
"numeric","v1028026",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.907855052137,781.730286491814,0,0,236.26413596,625.7739908,14455.7246946,"▇▁▁▁▁"
"numeric","v1028027",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.143142837816,789.583020821009,0,0,233.18505958,620.757614915,18192.74868707,"▇▁▁▁▁"
"numeric","v1028028",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.24785416316,809.055335757356,0,0,232.87042681,624.8184375775,21050.69410531,"▇▁▁▁▁"
"numeric","v1028029",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.284633390826,802.259558240414,0,0,237.65434806,621.9774567025,20115.6033699,"▇▁▁▁▁"
"numeric","v1028030",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.368573516947,809.69839502405,0,0,236.5699527,615.74937514,15318.66416215,"▇▁▁▁▁"
"numeric","v1028031",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.031579506433,817.188898577487,0,0,231.660075165,615.88253511,20753.05818798,"▇▁▁▁▁"
"numeric","v1028032",0,1,NA,NA,NA,NA,NA,NA,NA,NA,479.778742598069,811.709260540162,0,0,231.916303845,614.5878580875,20237.55326561,"▇▁▁▁▁"
"numeric","v1028033",0,1,NA,NA,NA,NA,NA,NA,NA,NA,482.01977908708,798.211695777481,0,0,236.94031318,626.85382902,19981.80038687,"▇▁▁▁▁"
"numeric","v1028034",0,1,NA,NA,NA,NA,NA,NA,NA,NA,479.988847035958,798.635158694909,0,0,230.64907906,628.72050205,15368.581424,"▇▁▁▁▁"
"numeric","v1028035",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.832934664905,796.563505341499,0,0,240.803708825,618.508936585,14115.78088539,"▇▁▁▁▁"
"numeric","v1028036",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.31081742917,801.313040687915,0,0,235.86147882,621.971217495,20725.78580548,"▇▁▁▁▁"
"numeric","v1028037",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.648852564705,795.394101031807,0,0,235.566936755,628.445376965,17732.87448567,"▇▁▁▁▁"
"numeric","v1028038",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.568620960308,791.067558727884,0,0,236.64581905,627.14394682,14691.36477144,"▇▁▁▁▁"
"numeric","v1028039",0,1,NA,NA,NA,NA,NA,NA,NA,NA,482.192976424231,804.436992608229,0,0,238.25021644,616.3055872675,16733.87824961,"▇▁▁▁▁"
"numeric","v1028040",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.830778402436,804.762863936381,0,0,234.77936742,621.908434105,15711.11420232,"▇▁▁▁▁"
"numeric","v1028041",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.715293108838,786.151083766696,0,0,235.94604184,630.24328594,20224.86613596,"▇▁▁▁▁"
"numeric","v1028042",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.679851599022,789.869894921977,0,0,229.931991715,630.109725465,15297.21114536,"▇▁▁▁▁"
"numeric","v1028043",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.45607612094,789.142396122036,0,0,239.9662705,622.15016013,14355.82363276,"▇▁▁▁▁"
"numeric","v1028044",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.690176676281,829.766777146654,0,0,237.69156018,623.4517614575,37501.46153936,"▇▁▁▁▁"
"numeric","v1028045",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.153712897017,820.90030151862,0,0,235.228430975,627.223922775,30191.2943811,"▇▁▁▁▁"
"numeric","v1028046",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.899418020386,769.927341869024,0,0,237.2375788,629.003429765,12178.31263228,"▇▁▁▁▁"
"numeric","v1028047",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.852202302412,807.029000686399,0,0,238.26683894,625.42767888,22873.0022885,"▇▁▁▁▁"
"numeric","v1028048",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.000547929285,799.282217494974,0,0,238.0549509,624.5630618225,20580.04567626,"▇▁▁▁▁"
"numeric","v1028049",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.618118286229,841.7719433662,0,0,229.37154711,614.06641893,32077.25280089,"▇▁▁▁▁"
"numeric","v1028050",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.110046680378,794.632484504357,0,0,234.674883065,630.0049402475,17480.90989648,"▇▁▁▁▁"
"numeric","v1028051",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.396797259532,825.335294652485,0,0,233.30989585,619.869062305,19347.9403892,"▇▁▁▁▁"
"numeric","v1028052",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.718845243831,799.190849162839,0,0,234.828376225,631.127192305,17542.79357389,"▇▁▁▁▁"
"numeric","v1028053",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.43005419591,810.800041539529,0,0,237.32123284,626.85543027,30883.03740041,"▇▁▁▁▁"
"numeric","v1028054",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.558713134818,801.137477941755,0,0,238.774703345,618.2335922325,21469.91217012,"▇▁▁▁▁"
"numeric","v1028055",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.244816173761,804.108079268503,0,0,235.55033383,627.3019363475,30033.04177687,"▇▁▁▁▁"
"numeric","v1028056",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.931782153357,781.329422457117,0,0,232.405963095,628.763016585,14466.16008979,"▇▁▁▁▁"
"numeric","v1028057",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.381386851922,785.809531057277,0,0,240.989033015,624.174201505,20302.32193417,"▇▁▁▁▁"
"numeric","v1028058",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.837554729281,781.665545756007,0,0,231.47707397,624.5522937025,12909.30860136,"▇▁▁▁▁"
"numeric","v1028059",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.223608238222,798.638072021399,0,0,234.894502175,622.8099932675,20836.64977583,"▇▁▁▁▁"
"numeric","v1028060",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.576366892899,800.797860985971,0,0,225.96370944,617.74560599,18038.87865338,"▇▁▁▁▁"
"numeric","v1028061",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.838433595946,823.210913245281,0,0,231.234587325,624.90918261,31504.72219221,"▇▁▁▁▁"
"numeric","v1028062",0,1,NA,NA,NA,NA,NA,NA,NA,NA,482.195996264127,816.578806012411,0,0,232.375635315,628.9578129875,21254.13806181,"▇▁▁▁▁"
"numeric","v1028063",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.408822153944,802.438831250091,0,0,230.713206385,623.57098394,21305.50640872,"▇▁▁▁▁"
"numeric","v1028064",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.533724337593,799.882905929653,0,0,234.56208131,621.1734981025,19303.88170092,"▇▁▁▁▁"
"numeric","v1028065",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.078571434179,793.151596326902,0,0,236.255412055,622.60780254,21296.87701701,"▇▁▁▁▁"
"numeric","v1028066",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.036957872646,799.131699007777,0,0,234.028127505,624.0335001,21580.30656152,"▇▁▁▁▁"
"numeric","v1028067",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.22807367804,802.173145766962,0,0,238.01601984,625.54375299,17382.04209443,"▇▁▁▁▁"
"numeric","v1028068",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.557256263487,790.041093072063,0,0,237.319110275,626.720560525,13515.38140519,"▇▁▁▁▁"
"numeric","v1028069",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.706871917922,787.794919280666,0,0,235.923838,627.7979464575,14127.7114959,"▇▁▁▁▁"
"numeric","v1028070",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.937078905364,799.193886749802,0,0,229.823763975,627.580699305,13762.00465675,"▇▁▁▁▁"
"numeric","v1028071",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.076115002051,802.151047169521,0,0,233.31165235,621.51879062,16546.17202157,"▇▁▁▁▁"
"numeric","v1028072",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.796931190332,814.638826174598,0,0,241.29334269,620.02387064,19853.738074,"▇▁▁▁▁"
"numeric","v1028073",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.833443486241,784.669343996705,0,0,237.01065789,619.68589286,13142.67437635,"▇▁▁▁▁"
"numeric","v1028074",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.896823253638,782.295491098276,0,0,236.22912157,620.82287822,15944.40564789,"▇▁▁▁▁"
"numeric","v1028075",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.695484527761,825.698634978999,0,0,234.990969365,623.5638845,30526.30289778,"▇▁▁▁▁"
"numeric","v1028076",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.165444327527,799.049697372548,0,0,233.75323784,627.28890241,15923.91148683,"▇▁▁▁▁"
"numeric","v1028077",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.393406180034,778.363784492599,0,0,232.05679791,631.4401584375,13916.13323302,"▇▁▁▁▁"
"numeric","v1028078",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.706264478475,804.054802355018,0,0,232.466555095,622.4096985225,21206.19977618,"▇▁▁▁▁"
"numeric","v1028079",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.183803550087,813.319923383535,0,0,227.79519589,614.3425566125,16983.85737288,"▇▁▁▁▁"
"numeric","v1028080",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.638100471264,796.765311151762,0,0,235.3467999,633.28466372,19535.90171702,"▇▁▁▁▁"
"numeric","v1028081",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.426817508051,807.228675149186,0,0,231.8415322,624.7337612825,21968.9367546,"▇▁▁▁▁"
"numeric","v1028082",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.956447195369,795.77273694705,0,0,234.618921075,630.317043355,17820.984672,"▇▁▁▁▁"
"numeric","v1028083",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.922793426545,788.183268050238,0,0,236.61736041,631.32412966,20137.75756516,"▇▁▁▁▁"
"numeric","v1028084",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.350411493108,790.051956594597,0,0,239.081870475,636.261925415,33992.77373067,"▇▁▁▁▁"
"numeric","v1028085",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.012146135802,816.076726014852,0,0,235.38321322,620.97704397,30980.73451373,"▇▁▁▁▁"
